Prices,URL,Name,Image
229,/zapatillas-marvel-capitan-america-rapidarun/AH2431.html,Zapatillas Marvel Capitán América RapidaRun,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwbf6a8ff8/zoom/AH2431_00_plp_standard.jpg?sw=230&strip=false
139,/zapatillas-altasport/BA7459.html,Zapatillas AltaSport,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw9d48caa3/zoom/BA7459_00_plp_standard.jpg?sw=230&strip=false
49,/organizador-linear-performance/DM7657.html,Organizador Linear Performance,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw5e6b569d/zoom/DM7657_00_plp_standard.jpg?sw=230&strip=false
99,/mochila-linear-performance/DM7660.html,Mochila Linear Performance,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwd4677cc0/zoom/DM7660_00_plp_standard.jpg?sw=230&strip=false
39,/gorra-de-natacion-sil-logo/802316.html,Gorra de natación SIL LOGO,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw812bac3f/zoom/802316_00_plp_standard.jpg?sw=230&strip=false
39,/medias-tobilleras-trifolio-3-pares/AZ5523.html,Medias Tobilleras Trifolio (3 Pares),https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw3c762b0d/zoom/AZ5523_00_plp_standard.jpg?sw=230&strip=false
29,/munequera-de-tenis/CF6278.html,Muñequera de tenis,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw35fac826/zoom/CF6278_00_plp_standard.jpg?sw=230&strip=false
129,/mochila/CY7017.html,Mochila,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw121b5e4d/zoom/CY7017_00_plp_standard.jpg?sw=230&strip=false
99,/mochila-daily/DM6158.html,Mochila Daily,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw9f2eb72b/zoom/DM6158_00_plp_standard.jpg?sw=230&strip=false
89,/lentes-de-natacion-persistar-comfort-mirrored/BR1117.html,Lentes de Natación Persistar Comfort Mirrored,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw81a63a4c/zoom/BR1117_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-predator-19.4-tf/D97973.html,Chimpunes PREDATOR 19.4 TF,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwda298f85/zoom/D97973_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-futsal-predator-19.4/D97976.html,Chimpunes Fútsal Predator 19.4,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwf3dc01d2/zoom/D97976_00_plp_standard.jpg?sw=230&strip=false
